year,university_type,net_social_justice_normalized,net_racial_diversity_normalized,net_womens_rights_normalized,net_gay_rights_normalized,net_activism_normalized,net_capitalism_normalized,net_administration_normalized,net_compassion_normalized,wokeness_index_normalized
2000,private,0.1984094069,0.08190661029,0.1684173256,0.08493204455,0.1056121624,-0.04543564151,0.09359950094,0.20827396,0.2717633319
2000,public,0.1620538655,0.06241762661,0.1402641778,0.05805970585,0.07562175401,-0.02357045911,0.0500352717,0.1695210483,0.235651907
2001,private,0.1632853806,0.06348123961,0.1367154164,0.05001991497,0.079764378,-0.02791944126,0.06100873614,0.1813382911,0.2380299418
2001,public,0.1340441087,0.04800745555,0.1165709598,0.02658277933,0.05821784813,-0.009997851862,0.03299247982,0.1632371763,0.2118849739
2002,private,0.1404834547,0.05417130162,0.1231727439,0.02982285806,0.06808117115,-0.01397558132,0.04563589716,0.1756973063,0.2207754969
2002,public,0.1080290348,0.03573968851,0.1052540231,0.01755951408,0.04581792006,0.0022416077,0.01110685216,0.1420158137,0.1936906289
2003,private,0.116750225,0.04324107514,0.1140737856,0.02486574349,0.04907750339,0.00470332737,0.004159465316,0.1387484156,0.1978079178
2003,public,0.09252188112,0.02709301258,0.09719060279,0.01292020265,0.03236550001,0.01654506959,-0.01928330514,0.115359022,0.1766139587
2004,private,0.1140179178,0.03920539019,0.1101651502,0.02830059353,0.04397606659,0.004143289236,0.002159677855,0.1224431219,0.1938542745
2004,public,0.1031898158,0.0275424529,0.09607448282,0.02141136269,0.03930741598,-0.004680248218,0.008707622566,0.1132373374,0.1872231218
2005,private,0.1260845087,0.04312137973,0.1092627385,0.03118747193,0.05436173787,-0.01418235905,0.03130286576,0.1323682381,0.2058855436
2005,public,0.1243399146,0.04198053294,0.1095460524,0.02740566977,0.05366149004,-0.01166921453,0.02737221403,0.1364275707,0.2042802037
2006,private,0.1478256245,0.05760128616,0.1256123236,0.04105017636,0.06769790968,-0.02258004701,0.05419140069,0.1501957742,0.2241871006
2006,public,0.1420009798,0.05479212652,0.1227421506,0.04011558241,0.0622236111,-0.02743005751,0.0517161827,0.1414427329,0.2208061425
2007,private,0.1486052121,0.06180060281,0.1282046895,0.04514332046,0.06634600969,-0.03393857122,0.06787754489,0.1457163427,0.228912918
2007,public,0.1367161764,0.05440026098,0.1204974282,0.03830969377,0.05932088138,-0.02734670997,0.05467542246,0.1423523466,0.2193171941
2008,private,0.1559439758,0.06975995831,0.133827119,0.05112483603,0.07327346757,-0.04198576996,0.06824446519,0.1535855639,0.2366034193
